"Bite-N-Sip",300,28.5677783,77.1884602
"Lotus Garden",2000,28.5692067,77.1870054
"Meethas Sweets",200,28.5682092,77.1882805
"Nirula's",1100,28.56747782,77.18884371
"Punjabi Tadka",250,28.5680386,77.1883704
"Snack Bar",250,28.5682072,77.1872056
"South Indian Food",150,28.567558,77.1884696
"Domino's Pizza",700,28.56902165,77.18894932
"Southy",400,28.56823664,77.18844105
"Coffee Shop - Centaur Hotel",1500,28.543091,77.115196
"Al Kuresh",850,28.5841464,77.1918744
"Angan Bakery & Cafe",600,28.5850979,77.191515
"Bamboo Chopstix",700,28.5842999,77.1916048
"Bawarchis",700,28.5842508,77.1915599
"Bikanervala",450,28.5851618,77.1912454
"Cafe Coffee Day",450,28.5834333,77.1909759
"Chanakya Bar-Be-Que",800,28.5843608,77.1914283
"Chattisgarh Bhawan",450,28.6043227,77.1863937
"Chimney",800,28.5843895,77.1916048
"China Town Sizzlers",800,28.5842508,77.1915599
"Chinese Bite",700,28.5842927,77.1917436
"Chinese Garden",900,28.5843202,77.191558
"Costa Coffee",600,28.5952992,77.1683666
"Food Point",200,28.6024263,77.1867082
"Ikko",1650,28.6021467,77.1860137
"Jammu And Kashmir House",500,28.5998612,77.1969056
"Laguna",900,28.5843085,77.1916947
"Momo Point",700,28.5841379,77.1917845
"New Zaika",700,28.5841379,77.1917845
"Organic Express",700,28.5867665,77.1933486
"Tamil Nadu House Canteen",600,28.5830663,77.1908861
"The Chocolate Avenue",300,28.5795901,77.1863937
"Chimney Sizzlers",800,28.5842999,77.1916048
"Gujarat Bhawan Restaurant",400,28.5985428,77.1971751
"Itäó»s Sinful",450,28.5974082,77.1735895
"Jakoi",600,28.6055182,77.1876516
"Arunachal Bhawan",350,28.5986962,77.1980469
"Hotel New Tamil Nadu",300,28.5830663,77.1908861
"Milan Food",650,28.5841379,77.1917845
"Playboy Club",3000,28.5957906,77.1974446
"Moti Mahal Delux",1600,28.6016137,77.1871125
"The Treat",500,28.5928569,77.178936
"Break Fast Point",200,28.6555014,77.2820446
"Breakfast Corner",150,28.655449,77.2822063
"Domino's Pizza",700,28.6519888,77.2777758
"Frontier",200,28.656024,77.2816637
"Prince Cafe",300,28.6548389,77.2821725
"Spicy Eleven",500,28.6536873,77.2779746
"Vaishno Punjabi Dhaba",400,28.6512423,77.2822247
"Adarsh Bhojnalaya",300,28.6564057,77.224214
"Al Haj Bakery",150,28.6545089,77.2278068
"Anmol Chicken",300,28.663599,77.2094826
"Babu Ram Paranthe Wale",150,28.6560115,77.2304115
"Bhaijaan Kababs",100,28.6494534,77.2335101
"Bhikharam's",300,28.65688889,77.22398333
"Bikanervala",550,28.6566711,77.2244176
"Brijwasi Bhoj",200,28.6568732,77.2243841
"Brijwasi Restaurant",400,28.656851,77.2243823
"Comesum",350,28.6606804,77.2280206
"Inderpuri Restaurant",250,28.6578654,77.2231981
"Kamdhenu Family Corner",300,28.6563302,77.2271781
"Khalsa Hindu Hotel",450,28.658756,77.2234955
"Mahalaxmi Mishthan Bhandar",100,28.6581203,77.2234057
"McDonald's",500,28.65606667,77.23421395
"McDonald's",500,28.65664,77.22333167
"Natraj Cafe",300,28.6561992,77.2305013
"Padam Chaat Corner",100,28.66,77.23
"Pandit Ved Prakash Lemon Wale",50,28.6565647,77.2268188
"Pt. Babu Ram Devi Dayal Paranthe Wale",150,28.6560495,77.2307138
"Rabri Bhandar",150,28.6561097,77.2305013
"Ram Parshad Makhan Lal",100,28.6625615,77.2155012
"Rambhoj",150,28.6562981,77.2324772
"Rehmatullah's Hotel",100,28.6491441,77.233555
"Sharma Bhojnalay",100,28.6559026,77.2306151
"Shree Balaji Chaat Bhandar",100,28.656524,77.2320281
"Shri Duli Chand Naresh Gupta",100,28.6476635,77.2269535
"Shri Hari Sharnam",400,28.6577424,77.222732
"Sindhi Chicken",400,28.6573856,77.2316689
"Soni Bhojnalaya",300,28.657748,77.223481
"Super Restaurant",250,28.6567032,77.2320281
"Tiwari Ji Confectioner",100,28.6561268,77.2306809
"Wah Ji Wah",450,28.6562478,77.2328586
"Zaika Mughlai Foods",550,28.6566379,77.2233607
"Al Yousuf",200,28.6551819,77.2254715
"Amritsari Lassi Wala",100,28.6567084,77.2234007
"Annapurna Bhandar",100,28.6563295,77.2323664
"Bishan Swaroop Chaat Bhandar",150,28.6561525,77.2309504
"Gole Hatti",150,28.6572505,77.2230342
"Haldiram's",600,28.6563106,77.2316689
"Kanwarji's",300,28.6562249,77.2307707
"Kedarnath Prem Chand Halwai",100,28.6556971,77.229983
"Keventers",400,28.6562039,77.2314893
"Khan Omelette Corner",150,28.6551982,77.2215109
"Natraj Dahi Bhalle Wala",100,28.6561992,77.2305013
"Old Famous Jalebi Wala",100,28.6561321,77.233555
"Pt. Gaya Prasad Shiv Charan Paranthe Wale",150,28.6561011,77.2304115
"Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale",150,28.6560207,77.2304674
"Shiv Misthan Bhandar",100,28.6568622,77.2243039
"Special Jalebi Wala",100,28.6566115,77.2320562
"Tewari Bros Confectioners",200,28.6566371,77.2266392
"Annapurna Chaat & Sweets",100,28.6562432,77.2315132
"Dessi Food",100,28.6574304,77.2319961
"Foody Dragon",300,28.6572972,77.2319612
"Grover Eating Point",200,28.6570185,77.2352925
"Hotel 121 Shakahari",300,28.657811,77.2234506
"Lala Chaap Corner",200,28.6526767,77.233113
"Meghraj & Sons",200,28.6565888,77.2233158
"Old Kheer Shop",100,28.65045,77.225538
"Punjabi Chicken",400,28.6573856,77.2316689
"Ratan Singh",50,28.6531118,77.2338244
"Chaina Ram Sindhi Confectioners",200,28.6566622,77.2235803
"Giani's di Hatti",150,28.6579744,77.2233575
"Jung Bahadur Kachori Wala",50,28.6556914,77.2298726
"Lakhori - Haveli Dharampura",3000,28.653316,77.2322078
"Milk n More",100,28.650566,77.2310851
"Kuremal Mohan Lal Kulfi Wale",200,28.6477617,77.2270433
"Hira Chaat Corner",100,28.6501751,77.2293337
"Kuremal Mahavir Prasad Kulfi Wale",300,28.6476059,77.2268188
"Shakahari Restaurant",300,28.649513,77.2270883
"Shri Gujrat Namkeen Bhandar",100,28.6501776,77.2293345
"Standard Sweets",200,28.6494491,77.2273577
"Sudarshan",150,28.6504067,77.2302935
"Ustad Moinuddin Kebab",100,28.6498667,77.2261003
"Ashok Chaat Corner",100,28.6493909,77.2268745
"Jain Coffee House",150,28.65051,77.2295582
"Shyam Sweets",150,28.6504756,77.2303113
"Spicy Food Court",500,28.49562447,77.16154855
"Aristocrat Sweet Shop",300,28.5400835,77.24861238
"Balluchi's - The Royal Cuisine",800,28.5399184,77.2518548
"Bunty Dhaba",500,28.53972535,77.25204963
"Gopal's Restaurant & Caterer's",300,28.54027996,77.24894397
"Horn Please",1000,28.5374979,77.2564223
"Khatey Raho",250,28.5401398,77.2488511
"Kolkata Biryani House",500,28.54032355,77.24887993
"Kolkata Hot Kathi Roll",150,28.5401027,77.2485628
"Madly Bangalee",400,28.5363941,77.2533122
"Oh! China",600,28.54140536,77.24785432
"Punjabi Zaika",500,28.5364501,77.2534878
"Rabi Snacks Corner",300,28.5401377,77.24898689
"Republic of Chicken",400,28.5364925,77.2534614
"Roll n Roast",250,28.54001105,77.24858187
"Royal Chick 'N'",300,28.5414227,77.2481801
"Royal Kolkata Biryani",500,28.5404268,77.2487302
"Sameer's Restaurant",600,28.53629071,77.2533324
"Sanjha Chulha",550,28.53638025,77.25324858
"Soya King",350,28.5364506,77.2532497
"The Mustard",500,28.540204,77.248798
"Tibb's Frankie",250,28.5363915,77.2534364
"Wazwaan Restaurant",1200,28.5426944,77.2417726
"Yummi Kolkataa",150,28.5399215,77.248847
"Annapurna Sweet House",150,28.53622797,77.25338604
"Ashirbad",100,28.5408504,77.2431467
"Chocolatiers - The Chocolate Boutique",100,28.5371718,77.248454
"Dadu Cutlet Shop",100,28.53622856,77.25329351
"Dogs & Wiches",600,28.53681321,77.2530626
"Maa Tara",500,28.5362306,77.2532976
"My Spice Kitchen",650,28.5403982,77.2487359
"The Singing Tree",100,28.5403609,77.2488222
"Baba Chicken Ludhiana Wale",400,28.54047929,77.24996019
"Bengal Snacks",300,28.54036184,77.24868078
"Brownies & More",100,28.5371328,77.2485055
"Cafe Coffee Day",450,28.5393728,77.2530302
"Craving Cure",300,28.5366561,77.2533385
"Cuisine",1500,28.5426944,77.2417726
"Kamala Fast Food & Chinese",300,28.5359835,77.25298069
"Lokenath Sweets",150,28.5371718,77.2484567
"Chulha Punjabi Da",600,28.53634285,77.25327071
"Viva Hyderabad",600,28.53692899,77.2529294
"Metro Grill",1200,28.7168739,77.1142232
"Cafe Cruise",1300,28.6501775,77.1232509
"Etal The Lounge Bar",2000,28.6502181,77.123654
"Game of Legends - Sports Bar, Grill, & Lounge",1450,28.650366,77.1233229
"Al-raaya",600,28.671114,77.220848
"Authentique Bites",300,28.6764039,77.2253817
"Embassy",1200,28.6766555,77.2252021
"Narang's Bake 'n' Cake",400,28.7027947,77.222238
"New Darvesh",150,28.6976361,77.2203223
"1UP",1200,28.6762903,77.2252161
"Gujarati Samaj Santushti",300,28.6722125,77.2241691
"Hind Bakery & Chinese Fast Food",150,28.7028124,77.2222477
"Hot Pot",150,28.7008282,77.2213398
"Punjabi Flavour",100,28.6919529,77.2212499
"Saras Fast Food Feast",300,28.6726275,77.2224176
"Shama Chicken Corner",300,28.6917878,77.2211471
"The Night Owl",450,28.6765107,77.2255613
"Wimpy Sweets And Confectioners",150,28.6975181,77.2204415
"Boa Village",1500,28.6767537,77.2252919
"Anand Ji Restaurant",400,28.56171513,77.26811942
"Baskin Robbins",300,28.5620725,77.2683524
"Bhoj Restaurant",600,28.56150782,77.26825587
"Brijwasi Restaurant",400,28.56159321,77.268392
"Cafe Coffee Day - The Lounge",750,28.562628,77.2690337
"Cafe Coffee Day",450,28.5624519,77.26926506
"Chaat Tadka",300,28.56128843,77.26820022
"Chawla's Unique Chicken Corner",600,28.56136028,77.26839837
"Dawat Khana",1600,28.562384,77.2688013
"Eat n Joy",500,28.5614129,77.2684871
"Khan Chicken Biryani",500,28.56181849,77.26784986
"Kolkata Roll",200,28.56132406,77.2685365
"R. Ahmad Food",450,28.562686,77.269169
"Sab Ke Khatir",600,28.560994,77.268562
"Bon Bon Pastry Shop",150,28.56217362,77.26831857
"Moksha",1400,28.56231173,77.26906691
"Pebble Street",2400,28.56253759,77.26893816
"Kebab Gallery",400,28.56203051,77.26817206
"Amber",1800,28.6301966,77.2208907
"Attitude Kitchen & Bar",1300,28.63004355,77.22035229
"Cafe Coffee Day",450,28.6329609,77.2198128
"Castle 9",1350,28.6348572,77.2194984
"Costa Coffee",600,28.62925605,77.2321919
"Delhi Darbar Dhaba",400,28.6305968,77.2298312
"Garam Dharam",1300,28.6317119,77.2226871
"Gola Sizzlers",1600,28.6352499,77.2198577
"Indian Coffee House",200,28.6305402,77.2160401
"My Bar Lounge & Restaurant",1000,28.6323836,77.2165791
"My Bar Square",1000,28.6328378,77.2213398
"Sagar Ratna",600,28.6356827,77.220409
"The Immigrant Cafe",1100,28.6340485,77.2190044
"MOB Brewpub",1500,28.6332756,77.2226422
"Naturals Ice Cream",150,28.6343484,77.2221482
"Zabardast Indian Kitchen",1800,28.63259937,77.22217988
"Anand Restaurant",550,28.6290232,77.2208008
"Berco's",1100,28.6324521,77.2172977
"Blues",1100,28.62986493,77.22061079
"Burger King",500,28.6327396,77.2212499
"Burger Singh",500,28.63432028,77.21751753
"Cafe Coffee Day The Square",700,28.63372555,77.21993454
"Cafe Dalal Street",1500,28.6332522,77.2228667
"Cafe Hawkers",1200,28.6346126,77.2211601
"Cafe Public Connection",1200,28.6314806,77.2202619
"Cafí© MRP",800,28.6344973,77.2208907
"Caffe Tonino",1400,28.6348977,77.2194535
"Cha Bar",500,28.63122333,77.22215876
"Chaayos",400,28.63146522,77.22035263
"Chew - Pan Asian Cafe",1700,28.6320384,77.2228218
"China Garden",1800,28.6339581,77.217118
"Desi Vibes",1400,28.6302469,77.2206488
"Domino's Pizza",700,28.6332312,77.2228959
"Dunkin' Donuts",600,28.62801416,77.22320214
"Dunkin' Donuts",600,28.6301662,77.2196331
